id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,neighbourhood_normalized,zip_code
1116744030372999838,Prime & Fully Furnished Studio Apartment,458971964,Rich,,Hyde Park,41.79473,-87.58608,Entire home/apt,156.0,1,2,2024-05-31,1.58,7,232,2,R23000109848,hyde park,63107
1116753754430454053,2BR Sunny Apartment in Hyde Park,458971964,Rich,,Hyde Park,41.79408,-87.5841,Entire home/apt,201.0,1,6,2024-05-27,2.17,7,256,6,R23000109846,hyde park,63107
1116756522090244769,Enchanting 1BR Apartment in Hyde Park,458971964,Rich,,Hyde Park,41.79410163061411,-87.58430774061242,Entire home/apt,115.0,1,4,2024-05-23,1.43,7,222,4,R22000079479,hyde park,63107
1116773678370830630,Elegant 1BR Hyde Park Apartment,458971964,Rich,,Hyde Park,41.79456,-87.58419,Entire home/apt,104.0,1,4,2024-05-28,1.56,7,210,4,R23000109847,hyde park,63107
1116778789118647528,"1BR Calm, Cozy & Furnished Apt in Hyde Park",458971964,Rich,,Hyde Park,41.79429,-87.58392,Entire home/apt,101.0,1,6,2024-05-26,2.37,7,263,6,R22000079395,hyde park,63107
1116836608754926115,1BR Chic & Elite Apt in Hyde Park,458971964,Rich,,Hyde Park,41.79545195607076,-87.58056917338298,Entire home/apt,165.0,2,7,2024-05-30,2.53,7,232,7,R23000109865,hyde park,63107
1116851419125146887,2BR Stylish Apartment in Hyde Park,458971964,Rich,,Hyde Park,41.79529,-87.58194,Entire home/apt,143.0,2,6,2024-06-02,2.09,7,243,6,R22000079500,hyde park,63107
1120461174550629890,Queen's Green,82114082,Genova,,Lower West Side,41.85144,-87.67246,Private room,43.0,1,0,,,4,181,0,R23000099914,lower west side,60608
1121239277231212984,Modern 2BR Apt | Free Parking & Pet-friendly,44264961,Camillia,,Woodlawn,41.77528677115146,-87.60687634817519,Entire home/apt,79.0,32,0,,,1,294,0,,woodlawn,97211
1123134752176107110,"""Spacious 3br theater""",480369932,Brittany,,Englewood,41.790214154376834,-87.64472362570406,Entire home/apt,153.0,1,3,2024-06-10,1.64,1,117,3,R24000115958,englewood,60621
1125636886935959268,3BR UChicago Medical Midway Museums Large Comfy,100179,Kenneth,,Woodlawn,41.78318914820161,-87.60844799093478,Entire home/apt,153.0,2,1,2024-05-11,0.71,9,81,1,R22000086175,woodlawn,97211
1126748758641233777,23rd Pl 1D,21891111,Ming,,Lower West Side,41.85002,-87.68298,Private room,45.0,5,4,2024-06-04,2.22,8,342,4,R22000081054,lower west side,60608
1126793591010529826,Entire upgraded house with two floors.,74339248,Deborah,,Woodlawn,41.77364,-87.59231,Entire home/apt,175.0,2,3,2024-06-03,1.3,1,118,3,R24000115960,woodlawn,97211
1127524302232598442,Apartment in Andersonville,372199810,Stephen,,Edgewater,41.97759,-87.67197,Entire home/apt,213.0,2,8,2024-06-17,4.71,1,203,8,R24000115826,edgewater,78248
1127642398240669514,"Floresitas Oasis, your home in Chicago",551433258,Lizbeth,,Lower West Side,41.84488953914064,-87.68466243480444,Entire home/apt,225.0,2,3,2024-06-09,3.0,1,249,3,R24000114489,lower west side,60608
